Target Location,Exogenous Location,Mean Absolute Error,Better Model
"WHITEVILLE 7 NW, NC",,2.165116952,
," LORIS 2 S, SC'",2.153186109,TRUE
"CASAR, NC",,1.993133093,
,"'CHESNEE 7 WSW, SC', 'GAFFNEY 6 E, SC'",1.910446604,TRUE
,"'CHESNEE 7 WSW, SC',",1.966493288,TRUE
,"'GAFFNEY 6 E, SC',",1.838256224,TRUE
"FOREST CITY 8 W, NC",,1.86483287,
,"'CHESNEE 7 WSW, SC', 'GAFFNEY 6 E, SC', 'SPARTANBURG 3 SSE, SC'",1.928883175,FALSE
,"'CHESNEE 7 WSW, SC',",1.934996905,FALSE
,"'GAFFNEY 6 E, SC',",1.754121679,TRUE
,"'SPARTANBURG 3 SSE, SC',",1.913483019,FALSE
,"'CHESNEE 7 WSW, SC', 'GAFFNEY 6 E, SC'",1.88068435,FALSE
,"'CHESNEE 7 WSW, SC', 'SPARTANBURG 3 SSE, SC'",1.943536229,FALSE
,"'GAFFNEY 6 E, SC', 'SPARTANBURG 3 SSE, SC'",1.8372171,TRUE
"GASTONIA, NC",,1.612306154,
,"'FORT MILL 4 NW, SC', 'GAFFNEY 6 E, SC'",1.605085075,TRUE
,"'FORT MILL 4 NW, SC',",1.656174077,FALSE
,"'GAFFNEY 6 E, SC',",1.609957851,TRUE
"LAKE LURE 2, NC",,2.24065399,
,"'CHESNEE 7 WSW, SC', 'CLEVELAND 3S, SC'",2.406073856,FALSE
,"'CHESNEE 7 WSW, SC',",2.211269902,TRUE
,"'CLEVELAND 3S, SC',",2.476194583,FALSE
"MOUNT HOLLY 4 NE, NC",,1.634784932,
,"'CATAWBA, SC', 'CHESNEE 7 WSW, SC', 'CHESTER 1 SE, SC', 'FORT MILL 4 NW, SC', 'GAFFNEY 6 E, SC', 'LOCKHART, SC'",1.643464414,FALSE
,"'CATAWBA, SC'",1.688166607,FALSE
,"'CHESNEE 7 WSW, SC'",1.573411446,TRUE
,"'CHESTER 1 SE, SC'",1.611382547,TRUE
,"FORT MILL 4 NW, SC'",1.718946467,FALSE
,"GAFFNEY 6 E, SC'",1.633125341,TRUE
,"LOCKHART, SC'",1.613381999,TRUE
,"'CATAWBA, SC', 'CHESNEE 7 WSW, SC'",1.649792675,FALSE
,"'CATAWBA, SC', 'CHESTER 1 SE, SC'",1.659303208,FALSE
,"'CATAWBA, SC', 'FORT MILL 4 NW, SC'",1.719927481,FALSE
,"'CATAWBA, SC', 'GAFFNEY 6 E, SC'",1.596798676,TRUE
,"'CATAWBA, SC', 'LOCKHART, SC'",1.646175145,FALSE
,"'CHESNEE 7 WSW, SC', 'CHESTER 1 SE, SC'",1.593306359,TRUE
,"'CHESNEE 7 WSW, SC', 'FORT MILL 4 NW, SC'",1.686806847,FALSE
,"'CHESNEE 7 WSW, SC', 'GAFFNEY 6 E, SC'",1.529708629,TRUE
,"'CHESNEE 7 WSW, SC', 'LOCKHART, SC'",1.597832049,TRUE
,"'CHESTER 1 SE, SC', 'FORT MILL 4 NW, SC'",1.693836475,FALSE
,"'CHESTER 1 SE, SC', 'GAFFNEY 6 E, SC'",1.581789311,TRUE
,"'CHESTER 1 SE, SC', 'LOCKHART, SC'",1.604384594,TRUE
,"'FORT MILL 4 NW, SC', 'GAFFNEY 6 E, SC'",1.622311889,TRUE
,"'FORT MILL 4 NW, SC', 'LOCKHART, SC'",1.677612404,FALSE
,"'GAFFNEY 6 E, SC', 'LOCKHART, SC'",1.586439194,TRUE
,"'CATAWBA, SC', 'CHESNEE 7 WSW, SC', 'CHESTER 1 SE, SC'",1.621531799,TRUE
,"'CATAWBA, SC', 'CHESNEE 7 WSW, SC', 'FORT MILL 4 NW, SC'",1.698929608,FALSE
,"'CATAWBA, SC', 'CHESNEE 7 WSW, SC', 'GAFFNEY 6 E, SC'",1.570665847,TRUE
,"'CATAWBA, SC', 'CHESNEE 7 WSW, SC', 'LOCKHART, SC'",1.62786133,TRUE
,"'CATAWBA, SC', 'CHESTER 1 SE, SC', 'FORT MILL 4 NW, SC'",1.704574413,FALSE
,"'CATAWBA, SC', 'CHESTER 1 SE, SC', 'GAFFNEY 6 E, SC'",1.582830099,TRUE
,"'CATAWBA, SC', 'CHESTER 1 SE, SC', 'LOCKHART, SC'",1.631719407,TRUE
