Date,"CONWAY, SC"," DARLINGTON, SC"," DILLON, SC","EFFINGHAM, SC"," FLORENCE REGIONAL AIRPORT, SC","FLORENCE 8 NE, SC"," LORIS 2 S, SC","MYRTLE BEACH, SC","Myrtle Beach Area, SC","CHESTERFIELD 3 E, SC"," CHERAW, SC","PAGELAND 9.0 WNW, SC"," WATEREE DAM, SC","Greenville-Spartanburg Area, SC","Pickens Area, SC"," Caesars Head Area, SC","ANDERSON, SC"," ANTREVILLE, SC","CAESARS HEAD, SC","CALHOUN FALLS, SC","CATAWBA, SC","CHESNEE 7 WSW, SC","CHESTER 1 SE, SC","CLEMSON UNIVERSITY, SC","CLEVELAND 3S, SC","FORT MILL 4 NW, SC","GAFFNEY 6 E, SC","GRNVL SPART INTL AP, SC","GREENWOOD 8NE, SC"," LAURENS, SC","LOCKHART, SC","LONG CREEK, SC","PICKENS, SC","SANTUCK, SC","SPARTANBURG 3 SSE, SC","UNION 8 S, SC","WALHALLA, SC"," WEST PELZER, SC","WOODRUFF 5 NW, SC"
1980-01-01,4.59,4.18,4.02,4.04,3.92,4.47,4.22,,,,4.75,,4.13,4.28,6.13,,6.31,6.57,,6.29,5.47,4.75,5.51,6.25,5.32,4.97,4.53,4.28,,6.91,5.62,,6.13,5.71,,6.17,7.0,5.71,5.16
1980-02-01,2.55,2.6,2.17,1.72,1.66,2.08,2.1,,,,1.64,,1.14,1.19,1.65,1.65,1.1,1.61,1.65,0.9,1.66,1.02,0.91,1.85,1.63,1.57,1.34,1.19,,1.64,1.47,,1.65,1.53,,1.68,2.14,1.64,1.5
1980-03-01,7.55,,7.98,7.8,8.19,8.07,8.24,,,,9.02,,9.35,11.37,13.27,14.57,12.14,11.92,14.57,,11.08,10.56,11.39,13.64,14.23,9.48,9.87,11.37,,10.9,10.54,,13.27,10.33,,11.58,15.43,11.98,11.04
1980-04-01,2.55,1.8,3.62,3.13,1.79,1.29,1.4,,,,2.36,,2.46,3.47,4.48,7.74,3.36,2.78,7.74,2.19,1.85,4.16,2.0,4.45,5.85,2.18,2.28,3.47,,2.37,3.51,4.38,4.48,2.3,,2.73,5.71,4.72,3.8
1980-05-01,4.25,4.2,4.38,4.44,3.24,,4.52,,,,1.83,,1.29,5.92,6.69,6.66,6.99,4.71,6.66,4.5,3.32,10.08,2.23,5.78,6.62,3.94,7.19,5.92,,,2.37,7.25,6.69,2.73,,3.76,7.94,6.99,6.22
1980-06-01,4.36,2.3,2.13,3.23,2.04,2.99,4.67,,,,2.78,,1.98,6.72,2.49,5.99,2.92,2.55,5.99,2.62,4.07,5.39,4.35,2.74,3.47,3.47,7.16,6.72,,1.78,3.8,5.83,2.49,4.57,,2.14,3.5,2.46,2.66
1980-07-01,2.52,2.24,3.02,3.46,2.22,2.01,1.96,,,,2.94,,1.31,1.05,0.37,5.15,0.82,1.08,5.15,1.41,3.28,3.45,1.9,0.91,3.64,1.89,1.3,1.05,,,3.9,5.11,0.37,2.8,,1.84,1.88,0.35,0.6
1980-08-01,2.08,4.3,2.29,4.03,3.53,3.14,2.27,,,,2.84,,4.35,3.33,1.34,1.45,0.62,0.63,1.45,0.75,3.13,4.41,2.31,1.21,2.02,1.67,2.52,3.33,,1.37,1.44,2.46,1.34,2.23,,1.32,1.15,3.5,0.69
1980-09-01,5.98,7.1,2.78,4.57,3.59,3.17,4.37,,,,4.92,,6.12,5.82,7.07,7.53,6.81,5.94,7.53,6.31,8.19,7.32,6.19,7.51,7.19,7.33,7.77,5.82,,7.17,6.78,,7.07,8.29,,6.48,7.71,8.69,5.05
1980-10-01,1.46,2.1,3.34,2.29,1.37,2.86,1.55,,,,6.97,,1.96,2.83,4.97,4.92,4.82,3.98,4.92,3.0,3.61,4.12,3.65,4.93,4.93,2.14,3.55,2.83,,3.51,4.36,4.13,4.97,3.07,,3.99,4.06,4.55,4.17
