Date,"ATHENS, TN","BRISTOL AP, TN","CHATTANOOGA AP, TN","CLEVELAND FILTER PLANT, TN","DAYTON 2SE, TN","DECATUR 7NE, TN","ELIZABETHTON, TN","ERWIN 1 W, TN","GATLINBURG 2 SW, TN","GREENEVILLE EXP STA, TN","KINGSPORT, TN","KINGSTON, TN","KNOXVILLE EXP STA, TN","KNOXVILLE AP, TN","LENOIR CITY, TN","LOOKOUT MTN-POINT PARK, TN","MONTEAGLE, TN","MORRISTOWN RADIO WCRK, TN","MORRISTOWN WFO, TN","MT LECONTE, TN","NEWCOMB, TN","NEWFOUND GAP, TN","NEWPORT 1 NW, TN","NORRIS, TN","ONEIDA, TN","PIKEVILLE, TN","ROAN MOUNTAIN 3SW, TN"," ROCKWOOD 2, TN"," ROGERSVILLE 1 NE, TN","SODDY DAISY-MOWBRAY MTN, TN","SPRING CITY, TN","TAZEWELL, TN"," TOWNSEND 5S, TN"
1980-01-01,5.95,3.91,4.69,4.4,4.89,,,3.45,,4.16,4.64,6.07,6.78,5.54,6.24,,,,,,4.73,,4.95,5.6,5.13,,,6.2,5.15,,,6.06,
1980-02-01,2.13,1.39,2.16,1.45,1.93,,,1.62,1.68,1.04,1.63,1.55,1.73,1.78,1.89,,,,,,2.17,,1.74,,2.78,,,1.59,1.28,,,2.43,
1980-03-01,12.27,5.68,16.32,13.33,11.68,,,6.08,5.23,6.5,6.35,9.54,9.43,8.72,13.13,,,,,,7.3,,7.57,,8.38,,,10.63,6.5,,,7.51,
1980-04-01,4.48,3.56,4.78,4.34,5.05,,,3.55,4.92,3.05,4.04,3.44,3.58,3.3,3.77,,,,,,3.77,,3.4,4.41,4.01,3.69,,3.99,3.54,,,3.37,
1980-05-01,3.55,2.69,4.25,4.61,4.93,,,3.13,2.88,3.82,2.65,5.06,3.97,3.8,3.79,,5.6,,,,3.42,,3.7,4.47,4.54,5.04,,5.72,2.8,,,3.79,
1980-06-01,2.22,1.1,2.67,1.44,3.46,,,4.17,2.64,1.73,1.62,1.04,1.22,1.94,1.0,,3.17,,,,0.79,,1.26,,0.57,1.46,,1.17,1.62,,,1.38,
1980-07-01,1.77,3.82,1.28,1.45,1.07,,,5.1,4.26,4.33,4.67,1.58,3.83,3.57,4.66,,1.78,,,,3.65,,4.66,3.19,5.26,0.61,,2.5,5.09,,,4.84,
1980-08-01,2.72,2.54,0.96,4.34,0.8,,,4.13,4.69,4.27,3.86,3.03,4.7,2.34,4.08,,3.8,,,,2.8,,3.81,3.9,3.61,2.76,,3.52,3.68,,,3.91,
1980-09-01,6.74,3.01,4.62,3.96,5.6,,,4.35,6.76,4.55,2.49,2.22,2.11,2.38,2.41,,3.97,,,,2.42,,4.37,2.77,4.42,3.85,,2.22,5.97,,,1.96,
1980-10-01,3.62,2.09,1.56,1.91,2.53,,,2.76,1.43,2.04,2.9,1.25,2.11,1.53,2.69,,2.5,,,,0.83,,1.81,0.93,1.91,0.99,,1.06,1.41,,,0.59,
1980-11-01,5.26,2.1,4.68,4.67,4.37,,,1.66,3.96,2.39,2.63,4.19,4.26,3.78,4.19,,5.41,,,,3.65,,2.63,4.46,4.56,3.62,,5.05,2.68,,,3.51,
1980-12-01,1.09,1.38,0.9,1.01,1.29,,,1.95,1.34,1.76,1.46,1.54,2.15,1.78,1.54,,1.39,,,,1.55,,1.91,1.61,1.43,1.38,,1.6,0.88,,,1.23,
1981-01-01,1.44,1.37,1.91,1.45,1.35,,,1.6,2.38,1.82,1.52,0.93,0.8,1.05,1.06,,2.4,,,,1.53,,1.82,3.6933333333333334,2.63,1.5,,1.31,1.38,,,1.51,
1981-02-01,5.11,2.59,5.07,4.79,5.66,,,3.53,6.52,3.06,3.37,5.55,4.5,3.62,5.13,,5.04,,,,3.69,,2.06,3.7816666666666667,3.6,5.34,,6.13,3.45,,,4.63,
1981-03-01,3.93,1.94,4.44,3.34,3.44,,,3.53,3.98,2.21,2.08,3.14,3.23,2.83,3.0,,5.12,,,,4.31,,2.64,3.87,4.53,3.57,,3.55,3.06,,,2.48,
1981-04-01,4.87,5.1,3.81,5.11,3.11,,,5.22,5.73,4.32,4.13,4.35,4.85,4.84,6.66,,4.37,,,,6.19,,3.93,4.140000000000001,4.68,5.6,,5.24,4.44,,,4.77,
1981-05-01,3.02,4.51,3.38,2.74,5.1,,,6.12,4.87,3.77,5.01,3.64,3.27,3.02,3.06,,4.9366666666666665,,,,5.67,,3.61,4.305,5.42,4.41,,4.11,3.74,,,4.38,
1981-06-01,4.7,4.28,3.7,3.73,3.12,,,4.03,6.06,4.43,3.24,5.22,7.43,5.53,6.77,,4.84,,,,4.26,,5.2,6.1425,5.32,2.9,,5.65,4.74,,,4.31,
1981-07-01,4.13,6.24,3.99,1.63,3.41,,,9.66,5.74,6.41,6.19,3.29,2.52,2.03,3.42,,4.78,,,,5.61,,5.69,5.770833333333333,4.12,3.45,,4.04,3.87,,,4.84,
1981-08-01,6.44,3.05,4.21,4.38,4.24,,,1.69,3.73,2.33,3.62,4.15,3.18,3.48,3.66,,5.84,,,,2.52,,1.43,7.98,2.2,2.9266666666666663,,3.57,2.73,,,6.79,
1981-09-01,3.87,4.17,2.74,1.46,1.81,,,3.46,4.56,4.98,4.31,2.44,4.14,6.09,2.52,,2.25,,,,2.33,,5.23,3.53,4.1,2.57,,2.94,3.75,,,4.42,
1981-10-01,3.61,2.51,2.8,3.76,3.3,,,1.99,3.17,2.81,2.67,4.2,5.23,4.15,4.31,,5.7,,,,4.76,,2.73,4.97,6.59,3.69,,4.79,4.21,,,4.86,
1981-11-01,3.85,1.95,4.85,4.53,3.24,,,2.37,3.8,2.26,1.83,2.65,3.01,3.01,2.1,,3.85,,,,2.26,,2.07,4.886666666666667,3.01,4.33,,3.9,3.19,,,1.65,
1981-12-01,5.93,3.2,5.02,4.68,4.68,,,3.29,3.38,3.25,2.83,4.2,4.82,4.14,4.68,,4.793333333333334,,,,3.61,,3.16,3.908888888888889,3.11,3.9,,4.77,3.66,,,3.69,
1982-01-01,8.45,4.07,8.29,8.07,8.83,,,5.03,5.71,3.6,5.23,7.25,7.4,6.03,6.85,,9.14,,,,6.46,,5.0,5.23,3.82,6.59,,8.36,8.24,,,6.91,
1982-02-01,5.97,5.07,5.95,5.57,5.71,,,4.92,6.41,5.73,7.33,5.97,5.34,4.88,6.14,,6.03,,,,5.14,,5.84,3.03,2.07,4.783333333333333,,7.89,6.2,,,6.28,
1982-03-01,4.5,3.35,4.8,5.35,3.53,,,3.76,4.65,3.21,3.01,5.05,6.03,6.36,6.11,,5.06,,,,3.29,,3.97,4.04,5.33,3.591111111111111,,4.16,2.8,,,3.9033333333333338,
1982-04-01,3.59,2.3,4.48,4.18,3.58,,,3.15,3.35,2.91,3.16,2.95,2.9,3.26,3.15,,4.84,,,,3.8,,3.3,2.48,4.53,2.42,,5.2,2.99,,,2.95,
1982-05-01,3.33,2.55,1.44,1.31,1.81,,,3.44,7.78,2.42,2.34,2.86,2.8833333333333333,5.52,4.31,,4.29,8.01,,,4.93,,4.37,2.3,4.26,3.26,,5.72,2.07,,,4.34,
1982-06-01,4.12,5.52,2.76,3.28,1.75,,,4.43,4.36,4.27,6.64,2.34,2.48,3.93,4.06,,1.41,8.01,,,4.23,,2.96,4.48,8.38,4.043333333333333,,5.72,3.8,,,4.74,
1982-07-01,5.03,9.14,4.79,1.97,4.52,,,9.67,8.21,4.64,5.48,4.08,10.59,6.6,8.95,,4.66,8.01,,,5.02,,4.01,3.5,5.65,5.97,,5.79,4.82,,,3.54,
1982-08-01,4.71,4.7,6.42,6.22,10.14,,,3.25,6.163333333333334,5.08,5.42,5.61,6.69,2.68,7.73,,6.03,3.21,,,4.65,,6.89,3.13,5.74,3.9155555555555552,,6.59,3.05,,,3.8,
1982-09-01,1.81,5.53,1.34,2.24,1.83,,3.29,4.89,6.55,2.13,7.1,3.27,4.510000000000001,2.68,2.75,,1.74,1.79,,,4.28,,2.47,3.45,7.84,2.85,,3.46,4.28,,,6.07,
1982-10-01,3.48,2.54,1.98,2.05,3.88,,3.29,4.79,3.54,2.9,3.66,2.02,2.7,2.66,2.43,,3.9,2.79,,,2.16,,3.28,0.86,1.53,1.9,,2.85,3.22,,,2.23,
1982-11-01,6.38,4.12,7.65,7.43,7.41,,3.29,3.69,7.36,4.32,4.35,6.11,6.65,5.21,5.43,,5.4,5.19,,,5.86,,5.63,6.84,6.69,7.06,,7.92,5.24,,,5.59,
1982-12-01,8.5,2.89,8.05,7.7,9.05,,3.32,2.81,4.42,3.0,3.14,8.04,4.83,4.89,6.93,,7.59,4.98,,,5.56,,3.65,5.374444444444444,4.85,5.51,,7.78,4.93,,,6.22,
1983-01-01,2.3,1.67,2.65,2.3,2.43,,2.945,2.29,2.52,1.55,2.07,1.59,2.36,1.58,2.05,,2.6,2.12,,,2.24,,1.43,4.2448148148148155,3.11,2.26,,2.74,2.06,,,2.21,
1983-02-01,4.38,2.14,4.52,4.62,4.56,,2.57,3.27,3.94,2.13,2.81,3.59,3.8,2.9,4.38,,5.98,2.96,,,5.03,,3.07,3.134938271604939,3.47,3.08,,5.08,2.88,,,3.13,
1983-03-01,3.34,1.73,3.66,3.56,4.46,,2.96,4.29,5.36,2.07,1.25,2.93,1.86,1.99,2.24,,3.66,1.75,,,4.16,,1.66,2.13,3.62,3.07,,4.07,1.19,,,1.55,
1983-04-01,7.91,4.44,6.4,7.47,8.96,,5.46,6.01,3.44,5.1,4.38,7.13,6.95,5.88,6.82,,6.303333333333334,5.47,,,3.98,,5.06,3.57,6.67,8.92,,8.31,5.37,,,4.85,
1983-05-01,6.68,4.83,6.65,9.44,6.74,,5.72,5.8,5.84,3.3066666666666666,4.96,6.44,7.13,5.42,7.95,,10.41,4.99,,,4.455,,6.18,8.34,8.43,6.2,,7.4,6.17,,,8.42,
