Date,"CHATHAM, VA","MARTINSVILLE FILTER PLANT, VA","MEADOWS OF DAN 5 SW, VA","SOUTH BOSTON, VA","STUART, VA","JOHN FLANNAGAN LAKE, VA","GRUNDY, VA","LEBANON, VA","ABINGDON 3S, VA","WISE 1SE, VA","John Kerr Dam, VA","Emporia, VA"
1980-01-01,,4.19,4.86,,,3.86,3.92,,4.22,,4.76,5.34
1980-02-01,0.93,0.68,0.58,,0.87,1.59,1.13,,1.48,1.15,1.45,1.27
1980-03-01,4.72,5.78,7.56,,7.04,4.43,4.18,,5.84,4.32,4.02,3.24
1980-04-01,4.25,5.05,8.79,,7.67,3.38,4.25,,3.51,4.03,3.24,2.73
1980-05-01,3.0,3.61,6.45,,5.92,1.92,1.87,,4.08,2.88,4.01,4.66
1980-06-01,2.98,,4.24,,3.43,1.44,,,1.75,1.37,2.62,1.37
1980-07-01,3.55,5.02,2.56,,4.28,6.92,8.01,,5.5,7.85,,3.51
1980-08-01,0.3,1.44,1.41,0.44,2.69,3.59,3.16,,2.98,3.82,0.38,1.48
1980-09-01,1.62,1.54,3.8,2.67,2.09,4.76,4.5,,3.58,,0.68,1.11
1980-10-01,3.18,2.17,3.1,4.44,2.1,1.4,2.37,,2.95,1.25,6.37,5.75
1980-11-01,2.34,2.54,2.12,2.51,2.13,3.24,3.02,,2.86,2.79,2.96,2.17
1980-12-01,0.54,0.43,0.23,0.34,0.41,1.3,1.3,,1.54,1.07,0.87,1.56
1981-01-01,0.55,0.86,0.89,0.82,0.68,1.19,1.11,,1.6,1.16,0.67,0.48
1981-02-01,4.9,3.43,4.1,3.55,3.6,3.79,3.21,,3.39,3.74,2.47,1.5066666666666666
1981-03-01,1.71,2.57,2.85,2.0,3.05,3.35,2.44,,2.28,2.72,2.14,2.77
1981-04-01,2.76,2.53,3.22,2.62,2.81,3.81,4.41,,4.7,4.56,2.25,1.5
1981-05-01,3.0,3.98,4.32,2.11,4.67,4.16,4.96,,7.12,3.82,4.59,3.98
1981-06-01,1.93,2.31,2.92,2.77,3.96,3.91,5.13,,5.01,3.89,2.68,2.22
1981-07-01,6.07,2.39,2.65,5.97,4.68,3.61,7.71,,4.84,5.14,6.03,2.73
1981-08-01,2.19,1.52,2.44,2.08,1.1,1.99,3.41,,2.65,7.96,3.0,5.59
1981-09-01,4.97,6.11,6.95,3.96,7.09,3.58,3.99,,5.78,3.98,1.57,1.12
1981-10-01,3.94,3.0,5.37,4.52,4.35,3.03,2.51,,2.61,4.13,3.91,2.48
1981-11-01,0.8,0.83,0.58,0.69,0.94,1.01,0.84,,1.35,1.38,0.63,1.06
1981-12-01,4.66,4.1,4.18,5.02,4.38,2.79,2.32,,4.0,2.74,4.08,3.74
1982-01-01,4.82,4.01,4.32,3.3200000000000003,4.18,4.63,4.64,,5.33,5.73,4.46,4.7
1982-02-01,5.91,4.87,5.89,4.12,6.06,4.53,4.67,,6.17,4.95,4.87,5.15
1982-03-01,3.09,2.36,1.59,2.48,1.81,3.85,3.81,,4.41,4.17,2.75,2.26
1982-04-01,2.03,3.18,6.33,1.77,6.27,2.36,2.6,,3.0,1.83,1.72,3.05
1982-05-01,5.25,3.7,3.67,3.86,5.83,5.95,7.61,,2.69,2.11,5.77,5.34
1982-06-01,6.44,4.42,7.25,3.93,7.35,6.21,5.35,,6.53,7.16,5.55,3.18
1982-07-01,3.75,1.8,2.79,5.98,1.89,2.82,4.88,,7.55,4.1,4.55,3.78
1982-08-01,3.78,6.19,3.39,3.92,3.62,6.79,4.94,,7.94,5.55,5.17,3.94
1982-09-01,2.33,2.67,1.69,1.41,1.92,3.36,2.52,,3.18,5.55,2.42,2.79
1982-10-01,4.04,3.05,4.21,6.31,3.43,2.78,2.79,,2.97,1.63,4.58,3.69
1982-11-01,3.82,3.19,5.53,3.22,5.59,4.71,3.86,,4.55,4.76,2.52,3.02
1982-12-01,1.87,3.14,4.7,3.39,2.93,2.55,2.03,,3.01,2.55,4.99,3.88
1983-01-01,1.56,3.9600000000000004,2.07,1.56,1.73,1.67,1.32,,2.26,1.76,5.069999999999999,1.95
1983-02-01,2.51,4.73,4.9,4.18,3.75,2.96,2.77,,2.13,3.62,5.76,4.61
1983-03-01,7.36,5.81,6.78,6.27,5.65,1.34,1.5,,2.66,1.96,8.26,5.82
1983-04-01,7.8,7.31,11.58,6.09,7.68,3.87,3.72,,4.9,4.35,4.54,6.83
1983-05-01,3.65,4.33,6.46,2.68,4.53,5.51,5.02,,5.97,7.13,4.87,4.93
1983-06-01,1.81,5.25,4.83,4.67,5.55,3.49,2.8,,2.49,2.95,1.51,2.06
1983-07-01,0.51,1.7,3.45,1.24,1.54,4.26,3.95,,3.91,3.75,0.89,0.72
1983-08-01,2.7,1.82,1.47,2.17,0.38,3.18,4.66,,3.04,4.2,1.12,2.41
1983-09-01,1.07,1.33,1.16,1.65,1.92,1.19,1.29,,2.35,1.47,2.2,4.07
1983-10-01,3.59,8.17,7.99,3.75,5.88,4.74,3.86,,3.48,3.09,4.49,4.25
